,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
303,Nathanaël Mbuku,,21,1.7,France  DR Congo,Villeneuve-Saint-Georges,4.0,9.0,Attack - Left Winger,34,left,FC Augsburg,2027-06-30,2023-01-30,BS Group - BS Law,
304,André Hahn,,32,1.85,Germany,Otterndorf,2.0,8.0,Attack - Right Winger,28,right,FC Augsburg,2023-06-30,2018-07-01,Sports360 GmbH,adidas
305,Noah Joel Sarenren Bazee,,26,1.83,Germany  Nigeria,Celle,0.8,1.5,Attack - Right Winger,17,right,FC Augsburg,2024-06-30,2019-07-01,Rummenigge Sport ...,Puma
306,Daniel Caligiuri,,35,1.82,Italy  Germany,Villingen-Schwenningen,0.6,7.5,Attack - Right Winger,20,right,FC Augsburg,2023-06-30,2020-07-01,Caligiuri Sports,
307,Ermedin Demirovic,Ermedin Demirović,25,1.85,Bosnia-Herzegovina  Germany,Hamburg,12.0,12.0,Attack - Centre-Forward,9,right,FC Augsburg,2026-06-30,2022-07-08,PRO Profil GmbH,Nike
308,Mergim Berisha,,25,1.88,Germany,Berchtesgaden,12.0,12.0,Attack - Centre-Forward,11,right,FC Augsburg,2023-06-30,2022-08-31,ROGON,adidas
309,Dion Beljo,Dion Drena Beljo,21,1.95,Croatia,Zagreb,6.5,6.5,Attack - Centre-Forward,7,left,FC Augsburg,2027-06-30,2023-01-13,ROOF,
310,Kelvin Yeboah,Kelvin Kwarteng Yeboah,23,1.85,Italy  Ghana,Accra,3.5,5.5,Attack - Centre-Forward,45,right,FC Augsburg,2023-06-30,2023-01-18,P&P Sport ...,
311,Irvin Cardona,,25,1.85,France  Malta,Nîmes,2.5,8.0,Attack - Centre-Forward,48,right,FC Augsburg,2027-06-30,2023-01-18,Wasserman,
312,Florian Müller,,25,1.9,Germany,Saarlouis,1.5,10.0,Goalkeeper,1,left,VfB Stuttgart,2025-06-30,2021-07-01,PRO Profil GmbH,
313,Fabian Bredlow,,28,1.9,Germany,Berlin,1.5,1.5,Goalkeeper,33,both,VfB Stuttgart,2024-06-30,2019-07-01,SEG,
314,Florian Schock,,21,2.0,Germany,Ostfildern,0.2,0.2,Goalkeeper,42,right,VfB Stuttgart,2024-06-30,2021-09-07,Relatives,
315,Konstantinos Mavropanos,Κωνσταντίνος Μαυροπάνος,25,1.94,Greece,Athens,15.0,17.0,Defender - Centre-Back,5,right,VfB Stuttgart,2025-06-30,2022-07-01,Konstantinos Farras,
316,Hiroki Ito,伊藤 洋輝,23,1.88,Japan,"Hamamatsu, Shizuoka",7.5,7.5,Defender - Centre-Back,21,left,VfB Stuttgart,2025-06-30,2022-07-01,Universal Sports ...,
317,Waldemar Anton,Рипцов-Антон Владимир Александрович,26,1.89,Germany,Almalyk,4.5,15.0,Defender - Centre-Back,2,right,VfB Stuttgart,2025-06-30,2020-07-28,AKA Global GmbH,Puma
318,Dan-Axel Zagadou,,23,1.96,France  Cote d'Ivoire,Créteil,3.5,35.0,Defender - Centre-Back,23,left,VfB Stuttgart,2026-06-30,2022-09-19,,
319,Antonis Aidonis,,21,1.86,Germany  Greece,Neustadt an der Weinstraße,0.35,0.5,Defender - Centre-Back,37,right,VfB Stuttgart,2023-06-30,2020-07-24,MK Sport Consulting,Nike
320,Borna Sosa,,25,1.87,Croatia  Germany,Zagreb,15.0,23.0,Defender - Left-Back,24,left,VfB Stuttgart,2025-06-30,2018-07-01,CAA Stellar,
321,Josha Vagnoman,Josha Mamadou Karaboue Vagnoman,22,1.9,Germany  Cote d'Ivoire,Hamburg,5.0,5.0,Defender - Right-Back,4,right,VfB Stuttgart,2026-06-30,2022-07-09,FTC,adidas
322,Pascal Stenzel,,27,1.83,Germany,Bünde,1.5,6.5,Defender - Right-Back,15,right,VfB Stuttgart,2024-06-30,2020-07-01,Unique Sports Group,
323,Wataru Endo,遠藤 航,30,1.78,Japan,"Yokohama, Kanagawa",6.5,10.0,midfield - Defensive Midfield,3,right,VfB Stuttgart,2024-06-30,2020-07-01,Universal Sports ...,Puma
324,Atakan Karazor,,26,1.91,Germany,Essen,4.5,4.5,midfield - Defensive Midfield,16,right,VfB Stuttgart,2026-06-30,2019-07-01,EMG Mundial,adidas
325,Enzo Millot,,20,1.74,France  Martinique,Lucé,2.5,2.5,midfield - Central Midfield,8,left,VfB Stuttgart,2025-06-30,2021-08-14,Klan Soccer FZCO,
326,Nikolas Nartey,Nikolas Terkelsen Nartey,23,1.85,Denmark  Ghana,"Bagsværd, Copenhagen",1.8,1.8,midfield - Central Midfield,28,left,VfB Stuttgart,2025-06-30,2019-08-29,Boutique Transfers,
327,Genki Haraguchi,原口 元気,32,1.78,Japan,"Kumagaya, Saitama",2.0,4.5,midfield - Attacking Midfield,17,right,VfB Stuttgart,2024-06-30,2023-01-30,PRO Profil GmbH,Nike
328,Lilian Egloff,,20,1.82,Germany,Heilbronn,1.5,1.5,midfield - Attacking Midfield,25,right,VfB Stuttgart,2024-06-30,2020-07-01,VIDA 11,
329,Ömer Beyaz,Ömer Faruk Beyaz,19,1.71,Turkey,Istanbul,0.7,1.0,midfield - Attacking Midfield,30,left,VfB Stuttgart,2025-06-30,2021-07-01,M-Soccermanagement,Nike
330,Laurin Ulrich,,18,1.8,Germany,Heidenheim an der Brenz,0.5,0.5,midfield - Attacking Midfield,36,right,VfB Stuttgart,2026-06-30,2022-07-01,Rummenigge Sport ...,Nike
331,Silas,,24,1.89,DR Congo,Kinshasa,10.0,25.0,Attack - Right Winger,14,right,VfB Stuttgart,2026-06-30,2019-08-13,M-Soccermanagement,
332,Chris Führich,,25,1.81,Germany,Castrop-Rauxel,4.0,4.0,Attack - Right Winger,22,right,VfB Stuttgart,2025-06-30,2021-07-19,KL Sportsbase,
333,Tanguy Coulibaly,,22,1.78,France  Cote d'Ivoire,Sèvres,2.0,5.0,Attack - Right Winger,7,left,VfB Stuttgart,2023-06-30,2019-07-02,,
334,Gil Dias,Gil Bastião Dias,26,1.86,Portugal,Gafanha da Nazaré,2.0,4.0,Attack - Right Winger,31,left,VfB Stuttgart,2025-06-30,2023-01-30,Ulisses Santos - ...,Nike
335,Serhou Guirassy,Serhou Yadaly Guirassy,27,1.87,Guinea  France,Arles,10.0,15.0,Attack - Centre-Forward,9,right,VfB Stuttgart,2023-06-30,2022-09-01,Relatives,
336,Tiago Tomás,Tiago Barreiros de Melo Tomás,20,1.8,Portugal,Cascais,7.0,7.0,Attack - Centre-Forward,10,right,VfB Stuttgart,2023-06-30,2022-01-30,Proeleven S.A.,
337,Juan José Perea,Juan José Perea Mendoza,23,1.8,Colombia,Bogotá,2.4,2.4,Attack - Centre-Forward,11,right,VfB Stuttgart,2026-06-30,2022-07-08,Konstantinos Farras,adidas
338,Luca Pfeiffer,,26,1.96,Germany,Bad Mergentheim,2.0,2.8,Attack - Centre-Forward,20,right,VfB Stuttgart,2026-06-30,2022-08-02,Haspel ...,
339,Thomas Kastanaras,Θωμάς Καστανάρας,20,1.86,Germany  Greece,Stuttgart,0.7,0.7,Attack - Centre-Forward,39,,VfB Stuttgart,2025-06-30,2022-07-01,Unique Sports Group,Puma
340,Alou Kuol,,21,1.81,Australia  Southern Sudan,Khartum,0.3,0.4,Attack - Centre-Forward,27,right,VfB Stuttgart,2025-06-30,2022-07-01,,
341,Robin Zentner,,28,1.95,Germany,Rüdesheim am Rhein,5.0,5.0,Goalkeeper,27,right,1.FSV Mainz 05,2025-06-30,2014-07-01,W&K Fairplay,adidas
342,Finn Dahmen,Finn Gilbert Dahmen,25,1.88,Germany  England,Wiesbaden,1.0,2.0,Goalkeeper,1,right,1.FSV Mainz 05,2023-06-30,2018-07-01,CN Sports,
343,Lasse Rieß,Lasse Finn Rieß,21,1.91,Germany,Nieder-Olm,0.2,0.2,Goalkeeper,32,right,1.FSV Mainz 05,2025-06-30,2021-07-01,ROOF Talents,
344,Maxim Leitsch,,24,1.89,Germany,Essen,3.5,5.0,Defender - Centre-Back,5,left,1.FSV Mainz 05,2026-06-30,2022-07-01,Sports360 GmbH,adidas
345,Andreas Hanche-Olsen,Andreas Schjølberg Hanche-Olsen,26,1.85,Norway,Bodø,3.5,4.0,Defender - Centre-Back,25,right,1.FSV Mainz 05,2026-06-30,2023-01-13,Nordic Sky,
346,Stefan Bell,,31,1.92,Germany,Andernach,2.5,6.0,Defender - Centre-Back,16,right,1.FSV Mainz 05,2024-06-30,2010-07-01,Haspel ...,adidas
347,Alexander Hack,,29,1.93,Germany,Memmingen,2.5,3.0,Defender - Centre-Back,42,left,1.FSV Mainz 05,2024-06-30,2015-11-30,PRO Profil GmbH,
348,Philipp Schulz,,17,1.88,Germany,,0.3,0.3,Defender - Centre-Back,45,right,1.FSV Mainz 05,2025-06-30,2022-07-01,Agent is known - Player under 18,
349,Anthony Caci,,25,1.84,France,Forbach,8.5,8.5,Defender - Left-Back,19,right,1.FSV Mainz 05,2026-06-30,2022-07-01,W.Egal O.S.F.M.,
350,Aarón Martín,Aarón Martín Caricol,26,1.8,Spain,Montmeló,7.0,20.0,Defender - Left-Back,3,left,1.FSV Mainz 05,2023-06-30,2019-07-01,BY AND FOR,
351,Silvan Widmer,,30,1.83,Switzerland,Aarau,5.0,9.0,Defender - Right-Back,30,right,1.FSV Mainz 05,2026-06-30,2021-07-09,CAA Base Ltd,
352,Danny da Costa,Danny Vieira da Costa,29,1.87,Germany  Angola,Neuss,2.0,15.0,Defender - Right-Back,21,right,1.FSV Mainz 05,2025-06-30,2022-07-01,Sports360 GmbH,Nike
353,Anton Stach,,24,1.94,Germany,Buchholz in der Nordheide,15.0,15.0,midfield - Defensive Midfield,6,both,1.FSV Mainz 05,2024-06-30,2021-07-31,ROOF,
354,Leandro Barreiro,Leandro Barreiro Martins,23,1.74,Luxembourg  Portugal,Erpeldingen,10.0,11.0,midfield - Central Midfield,8,right,1.FSV Mainz 05,2024-06-30,2018-07-01,CAA Stellar,
355,Dominik Kohr,,29,1.83,Germany,Trier,4.0,8.5,midfield - Central Midfield,31,right,1.FSV Mainz 05,2026-06-30,2022-07-01,Sports360 GmbH,adidas
356,Edimilson Fernandes,Edimilson Fernandes Ribeiro,27,1.9,Switzerland  Portugal,Sion,3.0,8.0,midfield - Central Midfield,20,right,1.FSV Mainz 05,2026-06-30,2019-07-01,IFM,
357,Aymen Barkok,أيمن بركوك,24,1.89,Morocco  Germany,Frankfurt am Main,1.5,3.5,midfield - Central Midfield,4,right,1.FSV Mainz 05,2025-06-30,2022-07-01,Sports eXcellence ...,
358,Eniss Shabani,,19,1.8,Germany  Kosovo,Gießen,0.2,0.2,midfield - Central Midfield,41,right,1.FSV Mainz 05,2025-06-30,2022-07-01,ASBW Sport Marketing,
359,Jae-sung Lee,이재성,30,1.8,"Korea, South",Ulsan,4.0,4.0,midfield - Attacking Midfield,7,left,1.FSV Mainz 05,2024-06-30,2021-07-08,Unique Sports Group,
360,Delano Burgzorg,,24,1.86,Netherlands  Suriname,Amsterdam,2.0,2.0,Attack - Left Winger,37,right,1.FSV Mainz 05,2025-06-30,2022-07-01,PURE,Puma
361,Brajan Gruda,,18,1.78,Germany  Albania,Speyer,0.5,0.5,Attack - Right Winger,43,left,1.FSV Mainz 05,2026-06-30,2022-11-18,Robert Schneider,adidas
362,Jonathan Burkardt,Jonathan Michael Burkardt,22,1.83,Germany,Darmstadt,12.0,17.0,Attack - Centre-Forward,29,right,1.FSV Mainz 05,2024-06-30,2018-07-01,PRO Profil GmbH,
363,Ludovic Ajorque,,29,1.96,France  Réunion,Saint-Denis,9.0,16.0,Attack - Centre-Forward,17,left,1.FSV Mainz 05,2026-06-30,2023-01-24,Léandre Chouya,
364,Marcus Ingvartsen,Marcus Højriis Ingvartsen,27,1.87,Denmark,Farum,4.5,4.5,Attack - Centre-Forward,11,left,1.FSV Mainz 05,2025-06-30,2022-07-01,People In Sport,
365,Karim Onisiwo,,31,1.88,Austria,Wien,3.5,4.5,Attack - Centre-Forward,9,right,1.FSV Mainz 05,2024-06-30,2016-01-05,ROOF,
366,Nelson Weiper,Nelson Felix Patrick Weiper,18,1.92,Germany  Albania,Mainz,2.5,2.5,Attack - Centre-Forward,44,right,1.FSV Mainz 05,2025-06-30,2022-07-01,ASBW Sport Marketing,
367,Marlon Mustapha,Suliman-Marlon Mustapha,21,1.85,Austria,Wien,1.0,1.0,Attack - Centre-Forward,36,right,1.FSV Mainz 05,2024-06-30,2020-07-01,MD Sports,Puma
368,Marvin Schwäbe,,28,1.9,Germany,Dieburg,5.0,5.0,Goalkeeper,20,right,1.FC Köln,2024-06-30,2021-07-01,CN Sports,adidas
369,Timo Horn,,29,1.92,Germany,Köln,1.5,12.0,Goalkeeper,1,left,1.FC Köln,2023-06-30,2011-07-01,Sports360 GmbH,Puma
370,Julian Roloff,,22,1.92,Germany,Grevenbroich,0.1,0.1,Goalkeeper,1,right,1.FC Köln II,2024-06-30,2023-01-15,DC International ...,Stanno
371,Matthias Köbbing,,25,1.96,Germany,Koblenz,0.025,0.1,Goalkeeper,44,both,1.FC Köln,2025-06-30,2022-03-08,Haspel ...,
372,Timo Hübers,Timo Bernd Hübers,26,1.9,Germany,Hildesheim,7.5,7.5,Defender - Centre-Back,4,right,1.FC Köln,2024-06-30,2021-07-01,Timo Hübers,
373,Luca Kilian,Luca Jannis Kilian,23,1.92,Germany,Witten,4.5,4.5,Defender - Centre-Back,15,right,1.FC Köln,2025-06-30,2022-07-01,LK Management,
374,Julian Chabot,Julian Jeffrey Gaston Chabot,25,1.95,Germany  France,Hanau,3.5,3.5,Defender - Centre-Back,24,left,1.FC Köln,2023-06-30,2022-01-26,PRO Profil GmbH,
375,Nikola Soldo,,22,1.89,Croatia,Stuttgart,1.5,1.8,Defender - Centre-Back,5,right,1.FC Köln,2025-06-30,2022-09-01,P&P Sport ...,
376,Rijad Smajic,,19,1.9,Bosnia-Herzegovina  Germany,Köln,0.2,0.2,Defender - Centre-Back,19,,1.FC Köln II,2025-06-30,2022-01-01,OLP Sports,
377,Elias Bakatukanda,Elias-Geoffrey Bakatukanda,19,1.93,Germany  DR Congo,Köln,,,Defender - Centre-Back,5,both,1.FC Köln U19,2026-06-30,2021-07-01,FM Worldsport,
378,Jonas Hector,,32,1.85,Germany,Saarbrücken,3.5,20.0,Defender - Left-Back,14,left,1.FC Köln,2023-06-30,2012-07-01,act SPORTS GROUP,adidas
379,Kristian Pedersen,Kristian Majdahl Pedersen,28,1.89,Denmark,Ringsted,1.5,5.0,Defender - Left-Back,3,left,1.FC Köln,2024-06-30,2022-07-01,Boutique Transfers,
380,Benno Schmitz,,28,1.82,Germany,München,3.0,3.0,Defender - Right-Back,2,right,1.FC Köln,2024-06-30,2018-07-01,Kögl & Partner GmbH,
381,Ellyes Skhiri,إلياس صخيري,28,1.85,Tunisia  France,Lunel,13.0,13.0,midfield - Defensive Midfield,28,right,1.FC Köln,2023-06-30,2019-07-29,CAA Stellar,
382,Dejan Ljubicic,,25,1.87,Austria,Wien,10.0,10.0,midfield - Defensive Midfield,7,right,1.FC Köln,2025-06-30,2021-07-01,Dirk Hebel,
383,Eric Martel,,21,1.88,Germany,Straubing,6.5,6.5,midfield - Defensive Midfield,6,right,1.FC Köln,2026-06-30,2022-07-01,NGM SPORTS,
384,Georg Strauch,,22,1.77,Germany,Bonn,0.2,0.2,midfield - Defensive Midfield,17,right,1.FC Köln II,2024-06-30,2020-07-01,Teamgeist ...,
385,Denis Huseinbasic,Denis Huseinbašić,21,1.84,Germany  Bosnia-Herzegovina,Erbach (Odenwald),5.0,5.0,midfield - Central Midfield,8,right,1.FC Köln,2025-06-30,2022-07-01,ProfiSports Prskalo,Puma
386,Mathias Olesen,Mathias Flaga Olesen,22,1.88,Luxembourg  Denmark,Kopenhagen,1.2,1.2,midfield - Central Midfield,47,both,1.FC Köln,2025-06-30,2022-02-04,PESM,
387,Joshua Schwirten,,21,1.82,Germany,Bergisch Gladbach,0.2,0.2,midfield - Central Midfield,10,both,1.FC Köln II,2023-06-30,2021-07-01,CS,
388,Kingsley Schindler,,29,1.83,Ghana  Germany,Hamburg,1.0,3.0,midfield - Right Midfield,17,right,1.FC Köln,2023-06-30,2019-07-01,11WINS,
389,Florian Kainz,,30,1.76,Austria,Graz,4.0,4.5,Attack - Left Winger,11,both,1.FC Köln,2025-06-30,2019-01-18,YOU FIRST,
390,Jan Thielmann,Jan Uwe Thielmann,20,1.78,Germany,Föhren,7.5,9.0,Attack - Right Winger,29,right,1.FC Köln,2024-06-30,2020-01-17,Relatives,
391,Linton Maina,,23,1.8,Germany  Kenya,Berlin,4.5,9.0,Attack - Right Winger,37,right,1.FC Köln,2025-06-30,2022-07-01,ROOF,
392,Dimitrios Limnios,Δημήτριος Λημνιός,24,1.78,Greece  Brazil,Volos,2.0,4.5,Attack - Right Winger,19,right,1.FC Köln,2024-06-30,2020-09-21,LIAN Sports Group,
393,Steffen Tigges,,24,1.94,Germany,Osnabrück,3.5,3.5,Attack - Centre-Forward,21,left,1.FC Köln,2026-06-30,2022-07-01,GOOD ADVICE Sports ...,adidas
394,Mark Uth,Mark-Alexander Uth,31,1.85,Germany,Köln,3.0,23.0,Attack - Centre-Forward,13,left,1.FC Köln,2025-06-30,2021-07-01,Sports360 GmbH,
395,Sargis Adamyan,Սարգիս Ադամյան,29,1.84,Armenia,Yerevan,2.0,5.0,Attack - Centre-Forward,23,right,1.FC Köln,2026-06-30,2022-07-05,Karl M. Herzog ...,
396,Tim Lemperle,,21,1.89,Germany,Frankfurt am Main,2.0,2.0,Attack - Centre-Forward,25,right,1.FC Köln,2025-06-30,2020-07-01,ROGON,Nike
397,Davie Selke,,28,1.95,Germany,Schorndorf,1.8,20.0,Attack - Centre-Forward,27,right,1.FC Köln,2024-06-30,2023-01-02,Sports eXcellence ...,Puma
398,Sebastian Andersson,Martin Sebastian Andersson,31,1.9,Sweden,Ängelholm,1.0,7.0,Attack - Centre-Forward,9,right,1.FC Köln,2023-06-30,2020-09-15,People In Sport,
399,Florian Dietz,,24,1.9,Germany,Bad Neustadt an der Saale,1.0,1.0,Attack - Centre-Forward,33,right,1.FC Köln,2025-06-30,2022-07-01,ROOF,
400,Maximilian Schmid,,20,1.84,Germany,Hanau,0.2,0.2,Attack - Centre-Forward,9,right,1.FC Köln II,2024-06-30,2022-07-01,ROGON U23,Nike
401,Oliver Christensen,,24,1.9,Denmark,Kerteminde,4.5,4.5,Goalkeeper,1,right,Hertha BSC,2026-06-30,2021-08-26,Boutique Transfers,
402,Tjark Ernst,,20,1.93,Germany,Stuttgart,0.4,0.4,Goalkeeper,12,both,Hertha BSC,2026-06-30,2022-09-01,BMS Sportconsulting ...,
403,Rune Jarstein,Rune Almenning Jarstein,38,1.92,Norway,Porsgrunn,0.3,2.5,Goalkeeper,22,right,Hertha BSC,2023-06-30,2014-01-01,Golden Patch ...,
404,Marc Oliver Kempf,,28,1.86,Germany,Lich,4.5,8.0,Defender - Centre-Back,20,left,Hertha BSC,2026-06-30,2022-01-25,Sports360 GmbH,
405,Márton Dárdai,,21,1.88,Germany  Hungary,Berlin,4.0,6.0,Defender - Centre-Back,31,left,Hertha BSC,2025-06-30,2020-07-01,PRO Profil GmbH,Nike
406,Agustín Rogel,Agustín Maximiliano Rogel Paita,25,1.91,Uruguay  Italy,Montevideo,3.0,4.5,Defender - Centre-Back,3,right,Hertha BSC,2026-06-30,2022-08-31,Ariel Krasouski,
407,Filip Uremovic,Filip Uremović,26,1.84,Croatia,Požega,2.0,7.0,Defender - Centre-Back,5,right,Hertha BSC,2026-06-30,2022-07-01,Ivan Bosnjak,adidas
408,Maximilian Mittelstädt,,26,1.8,Germany,Berlin,2.0,14.0,Defender - Left-Back,17,left,Hertha BSC,2027-06-30,2015-08-19,Sports360 GmbH,Nike
409,Marvin Plattenhardt,,31,1.81,Germany,Filderstadt,2.0,17.0,Defender - Left-Back,21,left,Hertha BSC,2023-06-30,2014-07-01,Briem Soccer ...,Nike
410,Lukas Ullrich,,19,1.8,Germany,Berlin,0.75,0.75,Defender - Left-Back,26,left,Hertha BSC II,2023-06-30,2022-07-01,SEG,Puma
411,Jonjoe Kenny,,26,1.76,England,Liverpool,4.0,12.0,Defender - Right-Back,16,right,Hertha BSC,2025-06-30,2022-07-01,11WINS,
412,Peter Pekarik,Peter Pekarík,36,1.77,Slovakia,Žilina,0.5,3.5,Defender - Right-Back,2,right,Hertha BSC,2023-06-30,2012-08-31,ROGON,
413,Julian Eitschberger,,19,1.79,Germany,Hohen Neuendorf,0.35,0.35,Defender - Right-Back,42,right,Hertha BSC,2026-06-30,2022-07-01,B360 Sports,
414,Lucas Tousart,,26,1.85,France,Arras,11.0,25.0,midfield - Defensive Midfield,29,right,Hertha BSC,2025-06-30,2020-01-27,Hexagon,
415,Ivan Sunjic,Ivan Šunjić,26,1.85,Croatia,Zenica,4.0,6.0,midfield - Defensive Midfield,34,right,Hertha BSC,2023-06-30,2022-07-05,Soccertalk GmbH,
416,Tolga Cigerci,Tolga Ciğerci,31,1.85,Turkey  Germany,Nordenham,1.5,4.5,midfield - Defensive Midfield,6,right,Hertha BSC,2024-06-30,2023-01-31,ROGON,
417,Suat Serdar,,26,1.84,Germany  Turkey,Bingen,6.5,25.0,midfield - Central Midfield,8,right,Hertha BSC,2026-06-30,2021-07-01,Sports360 GmbH,
418,Jean-Paul Boëtius,Jean-Paul Patrick Boëtius,29,1.78,Netherlands  Suriname,Rotterdam,2.0,6.0,midfield - Attacking Midfield,10,right,Hertha BSC,2025-06-30,2022-08-08,CAA Stellar,
419,Kevin-Prince Boateng,,36,1.86,Ghana  Germany,Berlin,0.7,23.0,midfield - Attacking Midfield,27,right,Hertha BSC,2023-06-30,2021-07-01,Excellence Sport,Puma
420,Chidera Ejuke,,25,1.76,Nigeria,Zaria,7.5,9.0,Attack - Left Winger,40,right,Hertha BSC,2023-06-30,2022-07-13,Aneke/PMG,Nike
421,Dodi Lukébakio,Dodi Lukébakio Ngandoli,25,1.87,Belgium  DR Congo,Brussels,12.0,21.0,Attack - Right Winger,14,left,Hertha BSC,2024-06-30,2019-08-01,BoostMySport,Nike
422,Marco Richter,,25,1.76,Germany,Friedberg,6.0,10.0,Attack - Right Winger,23,right,Hertha BSC,2025-06-30,2021-08-09,Sports360 GmbH,Nike
423,Kelian Nsona,Kelian Nsona Wa Saka,21,1.89,France  DR Congo,Ivry-sur-Seine,1.2,1.2,Attack - Right Winger,28,right,Hertha BSC,2026-06-30,2022-01-31,ROGON,
424,Jessic Ngankam,Jessic Gaïtan Ngankam,22,1.84,Germany  Cameroon,Berlin,3.5,3.5,Attack - Centre-Forward,24,right,Hertha BSC,2025-06-30,2022-07-02,Sports360 GmbH,
425,Wilfried Kanga,Wilfried Kanga Aka,25,1.89,Cote d'Ivoire  France,Montreuil-sous-Bois,3.0,4.0,Attack - Centre-Forward,18,right,Hertha BSC,2026-06-30,2022-07-30,Lasana KOITA,
426,Florian Niederlechner,,32,1.87,Germany,Ebersberg,2.2,10.0,Attack - Centre-Forward,7,right,Hertha BSC,2025-06-30,2023-01-18,Haspel ...,
427,Stevan Jovetic,Cтeвaн Joвeтић,33,1.83,Montenegro  Serbia,Titograd,2.0,30.0,Attack - Centre-Forward,19,right,Hertha BSC,2023-06-30,2021-07-27,LIAN Sports Group,
428,Derry Scherhant,Derry Lionel Scherhant,20,1.85,Germany,Berlin,0.7,0.7,Attack - Centre-Forward,39,right,Hertha BSC,2025-06-30,2022-07-01,Sports eXcellence ...,
429,Ibrahim Maza,,17,1.77,Germany  Algeria,Berlin,0.25,0.25,Attack - Centre-Forward,10,right,Hertha BSC U19,2026-06-30,2022-07-01,Agent is known - Player under 18,
430,Jiri Pavlenka,Jiří Pavlenka,31,1.96,Czech Republic,Hlučín,3.0,12.0,Goalkeeper,1,right,Werder Bremen,2025-06-30,2017-07-01,SPORT INVEST,
431,Michael Zetterer,,27,1.87,Germany,München,0.5,0.8,Goalkeeper,30,both,Werder Bremen,,2015-01-27,EMG Mundial,
432,Mio Backhaus,,19,1.94,Germany,Mönchengladbach,0.3,0.3,Goalkeeper,1,right,W. Bremen U19,,2021-07-01,feel soccer GmbH,
433,Dudu,,24,1.96,Germany  Brazil,Duisburg,0.2,0.3,Goalkeeper,38,right,Werder Bremen,2024-06-30,2020-07-01,DC International ...,Puma
434,Louis Lord,,19,1.9,Germany,Vechta,0.15,0.15,Goalkeeper,1,,W. Bremen II,,2021-07-01,CAA Stellar,
435,Marco Friedl,,25,1.87,Austria,Kirchbichl,6.5,7.5,Defender - Centre-Back,32,left,Werder Bremen,2026-06-30,2019-07-01,YOU FIRST,
436,Amos Pieper,,25,1.92,Germany,Lüdinghausen,6.0,7.0,Defender - Centre-Back,5,right,Werder Bremen,2026-06-30,2022-07-01,Sports360 GmbH,
437,Niklas Stark,,28,1.9,Germany,Neustadt an der Aisch,5.5,20.0,Defender - Centre-Back,4,right,Werder Bremen,2026-06-30,2022-07-01,Sports360 GmbH,adidas
438,Milos Veljkovic,Милош Вељковић,27,1.88,Serbia  Switzerland,Basel,5.0,12.0,Defender - Centre-Back,13,right,Werder Bremen,2025-06-30,2016-02-01,LIAN Sports Group,
439,Fabio Chiarodia,Fabio Cristian Chiarodia,17,1.86,Italy  Germany,Oldenburg,1.0,1.0,Defender - Centre-Back,39,left,Werder Bremen,2024-06-30,2021-10-07,,
440,Lee Buchanan,Lee David Buchanan,22,1.79,England,Mansfield,3.5,3.5,Defender - Left-Back,26,left,Werder Bremen,2026-06-30,2022-07-04,Quantum Sport,
441,Anthony Jung,,31,1.86,Germany  Spain,Villajoyosa,1.5,1.5,Defender - Left-Back,3,left,Werder Bremen,2024-06-30,2021-07-01,CAA Stellar,
442,Mitchell Weiser,Mitchell-Elijah Weiser,29,1.77,Germany  Algeria,Troisdorf,5.5,14.0,Defender - Right-Back,8,right,Werder Bremen,2024-06-30,2022-07-15,ROOF,
443,Felix Agu,,23,1.8,Germany  Nigeria,Osnabrück,1.0,2.5,Defender - Right-Back,27,right,Werder Bremen,2024-06-30,2020-07-01,TDS SPORTS,
444,Ilia Gruev,Илия Илиев Груев,23,1.85,Bulgaria  Germany,Sofia,3.0,3.0,midfield - Defensive Midfield,28,left,Werder Bremen,2025-06-30,2019-07-01,feel soccer GmbH,
445,Christian Groß,,34,1.82,Germany,Bremen,0.5,0.5,midfield - Defensive Midfield,36,both,Werder Bremen,2024-06-30,2020-08-01,DLT Sports Group,
446,Dikeni Salifou,Dikeni-Rafid Salifou,19,1.91,Togo  Germany,München,0.2,0.2,midfield - Defensive Midfield,19,right,Werder Bremen,,2022-07-01,Karl M. Herzog ...,
447,Jens Stage,Jens Dalsgaard Stage,26,1.87,Denmark,Højbjerg,3.5,4.0,midfield - Central Midfield,6,right,Werder Bremen,2026-06-30,2022-07-01,CMA Group,Puma
448,Jean Manuel Mbom,,23,1.85,Germany  Cameroon,Göttingen,1.0,3.0,midfield - Central Midfield,34,right,Werder Bremen,,2018-07-01,ROOF,adidas
449,Romano Schmid,,23,1.68,Austria,Graz,4.5,5.0,midfield - Attacking Midfield,20,right,Werder Bremen,2025-06-30,2019-01-03,YOU FIRST,adidas
450,Leonardo Bittencourt,Leonardo Jesus Loureiro Bittencourt,29,1.71,Germany  Brazil,Leipzig,3.5,7.0,midfield - Attacking Midfield,10,right,Werder Bremen,,2020-07-15,feel soccer GmbH,adidas
451,Niklas Schmidt,Niklas Uwe Schmidt,25,1.84,Germany,Kassel,2.5,2.5,midfield - Attacking Midfield,22,both,Werder Bremen,2025-06-30,2017-07-01,SEG,Nike
452,Maximilian Philipp,Maximilian Marcus Philipp,29,1.83,Germany,Berlin,2.0,20.0,Attack - Second Striker,17,right,Werder Bremen,2023-06-30,2023-01-30,Unique Sports Group,
